epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2745.19,1.25144,0.76848,1.10413,0.86971,0.792,0.86801,0.48081,1.51698,0.83754,1.2223,0.0073864,0.0073864,0.0073864
68,2785.98,1.2454,0.75647,1.10034,0.87631,0.84083,0.87905,0.49271,1.49807,0.84365,1.22689,0.0073468,0.0073468,0.0073468
69,2826.81,1.22183,0.73655,1.09396,0.84898,0.86847,0.87141,0.49029,1.54744,0.84034,1.24884,0.0073072,0.0073072,0.0073072
70,2867.38,1.20796,0.74369,1.09473,0.86033,0.84371,0.8753,0.49874,1.52969,0.7947,1.26437,0.0072676,0.0072676,0.0072676
71,2907.98,1.22773,0.7394,1.09075,0.83423,0.84655,0.86074,0.48024,1.53448,0.81024,1.23921,0.007228,0.007228,0.007228
72,2948.53,1.21711,0.72645,1.08511,0.91253,0.82819,0.87082,0.48563,1.52866,0.80391,1.24971,0.0071884,0.0071884,0.0071884
73,2989.12,1.18979,0.70625,1.08537,0.87506,0.85302,0.90567,0.50099,1.49398,0.74504,1.22495,0.0071488,0.0071488,0.0071488
74,3029.98,1.20497,0.73213,1.09243,0.83431,0.8797,0.89825,0.49673,1.56649,0.79287,1.24912,0.0071092,0.0071092,0.0071092
75,3070.86,1.1913,0.72847,1.09009,0.82115,0.84442,0.87504,0.4874,1.55801,0.84174,1.26013,0.0070696,0.0070696,0.0070696
76,3111.67,1.20676,0.72279,1.08529,0.82628,0.85781,0.86043,0.47972,1.53322,0.85974,1.24147,0.00703,0.00703,0.00703
77,3152.36,1.17861,0.72121,1.08001,0.88182,0.84981,0.9027,0.51831,1.51758,0.77505,1.23998,0.0069904,0.0069904,0.0069904
78,3193.28,1.16285,0.70038,1.06772,0.8302,0.86958,0.89009,0.50288,1.51598,0.80159,1.24504,0.0069508,0.0069508,0.0069508
79,3233.86,1.18876,0.71429,1.07059,0.83971,0.82743,0.85554,0.48753,1.51868,0.85068,1.26221,0.0069112,0.0069112,0.0069112
80,3274.52,1.16739,0.71035,1.07078,0.8622,0.83616,0.8872,0.5044,1.55464,0.82026,1.27794,0.0068716,0.0068716,0.0068716
81,3315.19,1.16677,0.71492,1.07282,0.86002,0.81849,0.87107,0.47642,1.57313,0.85229,1.27252,0.006832,0.006832,0.006832
82,3355.71,1.146,0.69376,1.06954,0.80527,0.85018,0.85202,0.47606,1.53827,0.87519,1.28469,0.0067924,0.0067924,0.0067924
83,3396.49,1.15475,0.68485,1.06724,0.83522,0.84586,0.87915,0.50259,1.5654,0.80953,1.28265,0.0067528,0.0067528,0.0067528
84,3437.1,1.17358,0.7073,1.06463,0.8337,0.84942,0.86845,0.48235,1.54888,0.80932,1.26948,0.0067132,0.0067132,0.0067132
85,3477.74,1.14144,0.6762,1.0585,0.854,0.80841,0.86642,0.50484,1.53062,0.81567,1.25676,0.0066736,0.0066736,0.0066736
86,3518.39,1.12286,0.68015,1.04809,0.86369,0.85313,0.88737,0.50759,1.55012,0.75801,1.27193,0.006634,0.006634,0.006634
87,3559.08,1.1312,0.68694,1.06177,0.79879,0.85413,0.8616,0.47151,1.55122,0.82813,1.2655,0.0065944,0.0065944,0.0065944
88,3599.71,1.15142,0.6979,1.05512,0.84503,0.88362,0.89375,0.50915,1.56522,0.75734,1.27927,0.0065548,0.0065548,0.0065548
89,3640.47,1.12473,0.66288,1.045,0.83921,0.86267,0.88866,0.49373,1.56851,0.80177,1.28588,0.0065152,0.0065152,0.0065152
90,3681.19,1.10893,0.65644,1.03723,0.85653,0.87963,0.90369,0.50148,1.56756,0.76302,1.28282,0.0064756,0.0064756,0.0064756
91,3721.86,1.12681,0.67267,1.05495,0.89312,0.84867,0.90147,0.50446,1.59085,0.79587,1.28466,0.006436,0.006436,0.006436
92,3762.44,1.12423,0.67029,1.04381,0.82947,0.86267,0.88455,0.49246,1.59049,0.80725,1.29735,0.0063964,0.0063964,0.0063964
93,3802.96,1.10351,0.65638,1.0485,0.84468,0.81958,0.85821,0.4899,1.56013,0.83038,1.28941,0.0063568,0.0063568,0.0063568
94,3843.69,1.09864,0.65481,1.0464,0.86003,0.78121,0.85148,0.47812,1.56151,0.86325,1.28933,0.0063172,0.0063172,0.0063172
95,3884.42,1.10853,0.65232,1.04795,0.8573,0.86249,0.88534,0.50353,1.54769,0.81005,1.28259,0.0062776,0.0062776,0.0062776
